134	GCF_009685195.1_ASM968519v1_genomic.fna.gz	GCF_009685195.1_ASM968519v1_genomic.gbff.gz
139	GCF_002151485.1_ASM215148v1_genomic.fna.gz	GCF_002151485.1_ASM215148v1_genomic.gbff.gz
139	GCF_002151505.1_ASM215150v1_genomic.fna.gz	GCF_002151505.1_ASM215150v1_genomic.gbff.gz
139	GCF_002151465.1_ASM215146v1_genomic.fna.gz	GCF_002151465.1_ASM215146v1_genomic.gbff.gz
139	GCF_003367295.1_ASM336729v1_genomic.fna.gz	GCF_003367295.1_ASM336729v1_genomic.gbff.gz
139	GCF_019134655.1_ASM1913465v1_genomic.fna.gz	GCF_019134655.1_ASM1913465v1_genomic.gbff.gz
139	GCF_019464575.1_ASM1946457v1_genomic.fna.gz	GCF_019464575.1_ASM1946457v1_genomic.gbff.gz
139	GCF_002442595.2_ASM244259v2_genomic.fna.gz	GCF_002442595.2_ASM244259v2_genomic.gbff.gz
139	GCF_024662175.1_ASM2466217v1_genomic.fna.gz	GCF_024662175.1_ASM2466217v1_genomic.gbff.gz
139	GCF_024662155.1_ASM2466215v1_genomic.fna.gz	GCF_024662155.1_ASM2466215v1_genomic.gbff.gz
139	GCF_024662195.1_ASM2466219v1_genomic.fna.gz	GCF_024662195.1_ASM2466219v1_genomic.gbff.gz
140	GCF_001598195.1_ASM159819v1_genomic.fna.gz	GCF_001598195.1_ASM159819v1_genomic.gbff.gz
140	GCF_020865525.1_ASM2086552v1_genomic.fna.gz	GCF_020865525.1_ASM2086552v1_genomic.gbff.gz
140	GCF_020422925.2_ASM2042292v2_genomic.fna.gz	GCF_020422925.2_ASM2042292v2_genomic.gbff.gz
141	GCF_023035815.1_ASM2303581v1_genomic.fna.gz	GCF_023035815.1_ASM2303581v1_genomic.gbff.gz
142	GCF_003568645.1_ASM356864v1_genomic.fna.gz	GCF_003568645.1_ASM356864v1_genomic.gbff.gz
142	GCF_023035415.1_ASM2303541v1_genomic.fna.gz	GCF_023035415.1_ASM2303541v1_genomic.gbff.gz
143	GCF_023035575.1_ASM2303557v1_genomic.fna.gz	GCF_023035575.1_ASM2303557v1_genomic.gbff.gz
144	GCF_023035295.1_ASM2303529v1_genomic.fna.gz	GCF_023035295.1_ASM2303529v1_genomic.gbff.gz
158	GCF_024181565.1_ASM2418156v1_genomic.fna.gz	GCF_024181565.1_ASM2418156v1_genomic.gbff.gz
158	GCF_024181485.1_ASM2418148v1_genomic.fna.gz	GCF_024181485.1_ASM2418148v1_genomic.gbff.gz
158	GCF_024181545.1_ASM2418154v1_genomic.fna.gz	GCF_024181545.1_ASM2418154v1_genomic.gbff.gz
158	GCF_024181445.1_ASM2418144v1_genomic.fna.gz	GCF_024181445.1_ASM2418144v1_genomic.gbff.gz
158	GCF_024181405.1_ASM2418140v1_genomic.fna.gz	GCF_024181405.1_ASM2418140v1_genomic.gbff.gz
158	GCF_024181425.1_ASM2418142v1_genomic.fna.gz	GCF_024181425.1_ASM2418142v1_genomic.gbff.gz
158	GCF_024181645.1_ASM2418164v1_genomic.fna.gz	GCF_024181645.1_ASM2418164v1_genomic.gbff.gz
158	GCF_024181505.1_ASM2418150v1_genomic.fna.gz	GCF_024181505.1_ASM2418150v1_genomic.gbff.gz
158	GCF_024181605.1_ASM2418160v1_genomic.fna.gz	GCF_024181605.1_ASM2418160v1_genomic.gbff.gz
158	GCF_024181625.1_ASM2418162v1_genomic.fna.gz	GCF_024181625.1_ASM2418162v1_genomic.gbff.gz
158	GCF_024181465.1_ASM2418146v1_genomic.fna.gz	GCF_024181465.1_ASM2418146v1_genomic.gbff.gz
158	GCF_024400725.1_ASM2440072v1_genomic.fna.gz	GCF_024400725.1_ASM2440072v1_genomic.gbff.gz
158	GCF_024400535.1_ASM2440053v1_genomic.fna.gz	GCF_024400535.1_ASM2440053v1_genomic.gbff.gz
158	GCF_025905525.1_ASM2590552v1_genomic.fna.gz	GCF_025905525.1_ASM2590552v1_genomic.gbff.gz
159	GCF_002850235.1_ASM285023v1_genomic.fna.gz	GCF_002850235.1_ASM285023v1_genomic.gbff.gz
159	GCF_017751205.1_ASM1775120v1_genomic.fna.gz	GCF_017751205.1_ASM1775120v1_genomic.gbff.gz
159	GCF_017751225.1_ASM1775122v1_genomic.fna.gz	GCF_017751225.1_ASM1775122v1_genomic.gbff.gz
159	GCF_017751185.1_ASM1775118v1_genomic.fna.gz	GCF_017751185.1_ASM1775118v1_genomic.gbff.gz
159	GCF_017751165.1_ASM1775116v1_genomic.fna.gz	GCF_017751165.1_ASM1775116v1_genomic.gbff.gz
160	GCF_009017435.1_ASM901743v1_genomic.fna.gz	GCF_009017435.1_ASM901743v1_genomic.gbff.gz
160	GCF_009017475.1_ASM901747v1_genomic.fna.gz	GCF_009017475.1_ASM901747v1_genomic.gbff.gz
160	GCF_900291945.1_PRJEB25146_genomic.fna.gz	GCF_900291945.1_PRJEB25146_genomic.gbff.gz
160	GCF_900298965.1_PRJEB25218_genomic.fna.gz	GCF_900298965.1_PRJEB25218_genomic.gbff.gz
160	GCF_900298905.1_PRJEB25205_genomic.fna.gz	GCF_900298905.1_PRJEB25205_genomic.gbff.gz
160	GCF_900298975.1_PRJEB25219_genomic.fna.gz	GCF_900298975.1_PRJEB25219_genomic.gbff.gz
160	GCF_030028295.1_ASM3002829v1_genomic.fna.gz	GCF_030028295.1_ASM3002829v1_genomic.gbff.gz
160	GCF_030028315.1_ASM3002831v1_genomic.fna.gz	GCF_030028315.1_ASM3002831v1_genomic.gbff.gz
160	GCF_029958725.2_ASM2995872v2_genomic.fna.gz	GCF_029958725.2_ASM2995872v2_genomic.gbff.gz
160	GCF_029958825.2_ASM2995882v2_genomic.fna.gz	GCF_029958825.2_ASM2995882v2_genomic.gbff.gz
160	GCF_029958505.2_ASM2995850v2_genomic.fna.gz	GCF_029958505.2_ASM2995850v2_genomic.gbff.gz
160	GCF_029958605.2_ASM2995860v2_genomic.fna.gz	GCF_029958605.2_ASM2995860v2_genomic.gbff.gz
160	GCF_029958445.2_ASM2995844v2_genomic.fna.gz	GCF_029958445.2_ASM2995844v2_genomic.gbff.gz
160	GCF_029958465.2_ASM2995846v2_genomic.fna.gz	GCF_029958465.2_ASM2995846v2_genomic.gbff.gz
160	GCF_029958765.2_ASM2995876v2_genomic.fna.gz	GCF_029958765.2_ASM2995876v2_genomic.gbff.gz
160	GCF_029958745.2_ASM2995874v2_genomic.fna.gz	GCF_029958745.2_ASM2995874v2_genomic.gbff.gz
160	GCF_029958585.2_ASM2995858v2_genomic.fna.gz	GCF_029958585.2_ASM2995858v2_genomic.gbff.gz
160	GCF_029958665.2_ASM2995866v2_genomic.fna.gz	GCF_029958665.2_ASM2995866v2_genomic.gbff.gz
160	GCF_029958865.2_ASM2995886v2_genomic.fna.gz	GCF_029958865.2_ASM2995886v2_genomic.gbff.gz
160	GCF_029958545.2_ASM2995854v2_genomic.fna.gz	GCF_029958545.2_ASM2995854v2_genomic.gbff.gz
160	GCF_029958565.2_ASM2995856v2_genomic.fna.gz	GCF_029958565.2_ASM2995856v2_genomic.gbff.gz
160	GCF_029958785.2_ASM2995878v2_genomic.fna.gz	GCF_029958785.2_ASM2995878v2_genomic.gbff.gz
160	GCF_029958525.2_ASM2995852v2_genomic.fna.gz	GCF_029958525.2_ASM2995852v2_genomic.gbff.gz
160	GCF_029958625.2_ASM2995862v2_genomic.fna.gz	GCF_029958625.2_ASM2995862v2_genomic.gbff.gz
160	GCF_029958425.2_ASM2995842v2_genomic.fna.gz	GCF_029958425.2_ASM2995842v2_genomic.gbff.gz
160	GCF_029958485.2_ASM2995848v2_genomic.fna.gz	GCF_029958485.2_ASM2995848v2_genomic.gbff.gz
160	GCF_029958805.2_ASM2995880v2_genomic.fna.gz	GCF_029958805.2_ASM2995880v2_genomic.gbff.gz
160	GCF_029958705.2_ASM2995870v2_genomic.fna.gz	GCF_029958705.2_ASM2995870v2_genomic.gbff.gz
160	GCF_029958685.2_ASM2995868v2_genomic.fna.gz	GCF_029958685.2_ASM2995868v2_genomic.gbff.gz
160	GCF_029958645.2_ASM2995864v2_genomic.fna.gz	GCF_029958645.2_ASM2995864v2_genomic.gbff.gz
160	GCF_029958845.2_ASM2995884v2_genomic.fna.gz	GCF_029958845.2_ASM2995884v2_genomic.gbff.gz
160	GCF_030384625.1_ASM3038462v1_genomic.fna.gz	GCF_030384625.1_ASM3038462v1_genomic.gbff.gz
160	GCF_030384645.1_ASM3038464v1_genomic.fna.gz	GCF_030384645.1_ASM3038464v1_genomic.gbff.gz
160	GCF_001628695.1_ASM162869v1_genomic.fna.gz	GCF_001628695.1_ASM162869v1_genomic.gbff.gz
160	GCF_001655275.1_ASM165527v1_genomic.fna.gz	GCF_001655275.1_ASM165527v1_genomic.gbff.gz
160	GCF_001655395.1_ASM165539v1_genomic.fna.gz	GCF_001655395.1_ASM165539v1_genomic.gbff.gz
160	GCF_001655475.1_ASM165547v1_genomic.fna.gz	GCF_001655475.1_ASM165547v1_genomic.gbff.gz
160	GCF_001655315.1_ASM165531v1_genomic.fna.gz	GCF_001655315.1_ASM165531v1_genomic.gbff.gz
160	GCF_001655515.1_ASM165551v1_genomic.fna.gz	GCF_001655515.1_ASM165551v1_genomic.gbff.gz
160	GCF_001655235.1_ASM165523v1_genomic.fna.gz	GCF_001655235.1_ASM165523v1_genomic.gbff.gz
160	GCF_001655435.1_ASM165543v1_genomic.fna.gz	GCF_001655435.1_ASM165543v1_genomic.gbff.gz
160	GCF_001655355.1_ASM165535v1_genomic.fna.gz	GCF_001655355.1_ASM165535v1_genomic.gbff.gz
160	GCF_001655555.1_ASM165555v1_genomic.fna.gz	GCF_001655555.1_ASM165555v1_genomic.gbff.gz
160	GCF_001713075.1_ASM171307v1_genomic.fna.gz	GCF_001713075.1_ASM171307v1_genomic.gbff.gz
160	GCF_001712955.1_ASM171295v1_genomic.fna.gz	GCF_001712955.1_ASM171295v1_genomic.gbff.gz
160	GCF_001713015.1_ASM171301v1_genomic.fna.gz	GCF_001713015.1_ASM171301v1_genomic.gbff.gz
160	GCF_001712895.1_ASM171289v1_genomic.fna.gz	GCF_001712895.1_ASM171289v1_genomic.gbff.gz
160	GCF_001713035.1_ASM171303v1_genomic.fna.gz	GCF_001713035.1_ASM171303v1_genomic.gbff.gz
160	GCF_001713335.1_ASM171333v1_genomic.fna.gz	GCF_001713335.1_ASM171333v1_genomic.gbff.gz
160	GCF_001713055.1_ASM171305v1_genomic.fna.gz	GCF_001713055.1_ASM171305v1_genomic.gbff.gz
